trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-69.76975140375444,"{0: 16, 1: 1, 2: 8, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-89.51334809414082,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,0,-106.09581774220725,"{0: 20, 1: 3, 2: 5, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-139.5917298203914,"{0: 10, 1: 1, 2: 6, 3: 2, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,0,-166.92121473066064,"{0: 17, 1: 2, 2: 6, 3: 4, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,8,-38.01052925707768,"{0: 8, 1: 0, 2: 3, 3: 1, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,13,-76.56087197309225,"{0: 6, 1: 3, 2: 1, 3: 1, 4: 1}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-61.56772990764142,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-65.18461388679951,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,3,-81.93101522757726,"{0: 20, 1: 0, 2: 5, 3: 1, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-74.83763120139184,"{0: 20, 1: 2, 2: 1, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",30,0,-126.79106564675412,"{0: 23, 1: 1, 2: 3, 3: 0, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,14,-26.608042505190294,"{0: 13, 1: 0, 2: 1, 3: 2, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,8,-1.6139735866443012,"{0: 20, 1: 0, 2: 1, 3: 1, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,0,-14.208995868227344,"{0: 26, 1: 1, 2: 2, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,9,12.578900084121436,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,7,-21.42098778576913,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,13,-4.844916259961012,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,2,-39.08503038466631,"{0: 20, 1: 0, 2: 1, 3: 1, 4: 1}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,0,21.690190471075212,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",25,0,-34.70791597183054,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",30,16,12.879449285644037,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",35,8,-65.59651499231941,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 2}",1
4,True,"{'a': 0, 'e': 0}",25,6,-38.120819739261705,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 1}",1
5,True,"{'a': 0, 'e': 0}",25,15,12.598574240891342,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",30,3,-91.94372888745299,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 2}",1
7,True,"{'a': 0, 'e': 0}",25,13,18.84493728295119,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,0,-65.80507874647583,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",0
9,True,"{'a': 0, 'e': 0}",25,11,-8.965230523914833,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,0,-45.806130998451735,"{0: 22, 1: 0, 2: 0, 3: 2, 4: 1}",0
