trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",35,3,-54.03540140232945,"{0: 25, 1: 1, 2: 4, 3: 2, 4: 0}",1
2,False,"{'a': 0.5, 'e': 1.0}",30,0,-153.77350057402302,"{0: 15, 1: 6, 2: 7, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-182.12461548485015,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 4}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-231.2594948969889,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 5}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-148.68939944115905,"{0: 11, 1: 2, 2: 3, 3: 2, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-205.8192409439154,"{0: 19, 1: 2, 2: 5, 3: 0, 4: 4}",0
7,False,"{'a': 0.5, 'e': 1.0}",30,0,-138.5798362525783,"{0: 19, 1: 2, 2: 5, 3: 3, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-71.93410159922357,"{0: 16, 1: 5, 2: 3, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-78.31783352339575,"{0: 10, 1: 4, 2: 5, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",35,0,-191.3793498837271,"{0: 22, 1: 2, 2: 7, 3: 1, 4: 3}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-268.4315543171936,"{0: 14, 1: 1, 2: 10, 3: 1, 4: 4}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-60.00958282105239,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,0,-235.41747548525828,"{0: 18, 1: 1, 2: 5, 3: 2, 4: 4}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,0,-104.53259439737612,"{0: 20, 1: 2, 2: 6, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-167.63241445439118,"{0: 10, 1: 1, 2: 6, 3: 0, 4: 3}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-154.44545934711294,"{0: 14, 1: 1, 2: 7, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-139.53519558872728,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-78.84372160506634,"{0: 13, 1: 2, 2: 2, 3: 3, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-91.62314758001517,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-109.4612456781044,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,10,-16.717073492239663,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-151.1963547259337,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 3}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-209.35714193418457,"{0: 12, 1: 1, 2: 8, 3: 1, 4: 3}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-115.83452045172122,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-186.42760686929464,"{0: 15, 1: 0, 2: 6, 3: 1, 4: 3}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-114.3132612110469,"{0: 14, 1: 2, 2: 8, 3: 0, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-259.85466496273636,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 5}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-42.69567094016792,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-150.90652640193557,"{0: 10, 1: 3, 2: 3, 3: 2, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-115.95799759998019,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
